,Produktnamn,Registreringsnummer
256,Celcure M65,5880
257,Moddus M,4140
258,Zeppos,6031
259,Zeppos,6031
260,TotalSTOP,6025-1-1
261,Orocide Plus, 6027
262,Tripali,5436
263,Exittus,5613
264,Relpexa,5613
265,Selontra,5613
266,Serenade Soil Activ,6029
267,Serenade Soil Activ,6029
268,Alliance,5196
269,ALLY 20 SX,5885
270,XL-Mygg,4317
271,Kill-Master Getingspray Plus,6023
272,Taegro,5935
273,Spectrum,5925
274,FennoCide R 20,3980
275,Forgo Myrdosa,5209
276,Myrr N Myrdosa,5209
277,Natria S Myrdosa,5209
278,SpinoWay,5209
279,Stabilan 750 SL,5408
280,Avoxa,5667
281,Speed,5578
282,Speed C,5579
283,Spectrum RX7848,3965
284,Aptaor PYR spray Plus,6023
285,Flue-Stop,6023
286,Fluga Spray,6023
287,Flugspray,6023
288,Flymaster EXTRA Plus,6023
289,Getingspray,6023
290,Insektsspray,6023
291,Kill-master Insektsspray,6023
292,Mot Insekter K,6023
293,Nalco 7330,3689
294,Quit-it,6023
295,Belkar,5352
296,Frowncide,5868
297,Pixxaro EC,5318
298,Quelex,5485
299,Trolten,5308
300,Zypar,5274
301,Försvarets Mygg & Fästing 30% Citriodiol Roll-On,4630
302,Försvarets Mygg & Fästing 30% Citriodiol Spray,4317
303,Ohayo,5867
304,Zignal,5061
305,ANTI-MOTH WAX TINEOLA,EU-0030102-0000
306,DIFFUSEUR ANTI MITES,EU-0030102-0000
307,MOTH MINZZZ,EU-0030102-0000
308,MOTH PROOF BOX,EU-0030102-0000
309,Racumin Expert,5789
310,Stop MD,EU-0030102-0000
311,STOP MOTH,EU-0030102-0000
312,STOP MOTH TINEOLA,EU-0030102-0000
313,TINEOLA,EU-0030102-0000
314,TINEOLA MENTHA,EU-0030102-0000
315,TINEOLA MOTH BARRIER,EU-0030102-0000
316,TINEOLA MOTH PROOF BARRIER,EU-0030102-0000
317,TINEOLA VP,EU-0030102-0000
318,Basinox,5583
319,Proradix,5042
320,Pyblast EW,6024
321,Interspeed 5617,5044
322,INSEKTSPRAY,4717
323,Kvitt Insektspray Extra,4717
324,Avskräckningsmedel mot katter,5882
325,Fly Attract,EU-0027005-0000
326,Katt Repellent,5882
327,Stick Universal Spray,5958
328,Wasp Attract,EU-0027006-0000
329,Effol Broms Blockare +,5038
330,Swirr Myrpuder,5655
331,Property 180 SC,5339
332,Seajet 031 Samurai,5117
333,Seatender 10,4941
334,Avskräckningsmedel för hund och katt,EU-0028890-0000
335,Avvisande medel för hundar,EU-0028890-0000
336,Avvisar,EU-0028890-0000
337,Barriär GR,EU-0028890-0000
338,Beaphar Keep Off Granulat,EU-0028890-0000
339,Granulat för att avvisa katter och hundar,EU-0028890-0000
340,Granulat för repellering av hundar,EU-0028890-0000
341,Granulat för repellering av katter,EU-0028890-0000
342,Kattavvisande medel,EU-0028890-0000
343,Panik,EU-0028890-0000
344,Panikgranulat,EU-0028890-0000
345,Panikgranulat (hund och katt),EU-0028890-0000
346,Repellis G,EU-0028890-0000
347,Répulsif chiens et chats Granules,EU-0028890-0000
348,Stop CG,EU-0028890-0000
349,Alpha Pasta 4%,5841-1-1
350,Black pearl grain,5840-1-1
351,Black pearl pasta,5841-1-1
352,Celcure MC-T4,5915
353,Flash Grain,5840-1-1
354,Flash Paste,5841-1-1
355,Grain AF,5840-1-1
356,Kobra Rax Musgift Korn,5840-1-1
357,Kobra Rax Musgift Pasta,5841-1-1
358,Magik Grain,5840-1-1
359,Magik Paste,5841-1-1
360,Muridax AK bete,5840-1-1
361,Muridax AK box,5841-1-1
362,Muridax AK pasta,5841-1-1
363,Muskorn,5840-1-1
364,MyggA Roll On,5919
365,Paste AF,5841-1-1
366,Racan Grain AF,5840-1-1
367,Racan Paste AF,5841-1-1
368,Red pearl grain,5840-1-2
369,Red pearl pasta,5841-1-2
370,Trinol Musgift,5840-1-1
371,Vamos,5933
372,Rodicum Express,5838
373,"Avskräckning mot hund, katt och stenmård",EU-0028889-0000
374,Avskräckning mot stenmård,EU-0028889-0000
375,Avskräckningsmedel mot hund och katt,EU-0028889-0000
376,Barrier Spray,EU-0028889-0000
377,Beaphar Keep Off Spray,EU-0028889-0000
378,Flytande avskräckningsmedel mot hund och katt,EU-0028889-0000
379,Flytande avskräckningsmedel mot stenmård,EU-0028889-0000
380,Flytande hundavskräckningsmedel,EU-0028889-0000
381,"Flytande repellent mot hundar, katter och stenmårdar",EU-0028889-0000
382,Flytande repellent mot katter,EU-0028889-0000
383,Hundavskräckning,EU-0028889-0000
384,Kattavskräckande spray,EU-0028889-0000
385,Kattavskräckning,EU-0028889-0000
386,Marter,EU-0028889-0000
387,Panic Spray,EU-0028889-0000
388,Repel Spray,EU-0028889-0000
389,Repellis S,EU-0028889-0000
390,Répulsif chiens chats et fouines liquide,EU-0028889-0000
391,Spray mot hund och katt,EU-0028889-0000
392,Spray mot hundar,EU-0028889-0000
393,Stop CS,EU-0028889-0000
394,Stop Spray,EU-0028889-0000
395,Stop Spray Repel,EU-0028889-0000
396,Pelsis Insect Spray,6023
397,Difcor 250 EC,5998
398,DIFEND,6000
399,Difend Extra,6001
400,Narita,5999
401,Euskatel,6022
402,Fazor,6011
403,Conserve,4511
404,Maxforce White IC,5790
405,DeLaval Extra,6019-2-1
406,Finalsan Ogräs Effekt färdigblandad,4658
407,Finalsan Ogräs Effekt koncentrat,4657
408,Finalsan Ogräs Effekt koncentrat Proffs,4867
409,Fresh 25,6019-1-1
410,Neudosan Skadekryps Effekt,5886
411,Raptol,5351
412,Skadekryps Effekt,4919
413,Comet Pro,5163
414,EXTERIS StressGard,5799
415,Cuadro NT,5291
416,Mustang,4992
417,Mustang Forte,5266
418,SANYTOL FLÄCKBORTTAGARE BLEKMEDEL DESINFEKTIONSMEDEL FRESH,5695-1-2
419,SANYTOL FLÄCKBORTTAGARE DESINFEKTIONSMEDEL FRESH,5695-1-1
420,Ascra Xpro,5272
421,Propulse SE 250,5347
422,Silvron Xpro,5706
423,Architect,6018
424,Balaya,5692
425,Insignia,5697
426,Vazanti,6013
427,Nuance,5896
428,BONUS Ogräs Bort,6014
429,Boracol 10/3Bd Prof,5862
430,Boracol Special,5862
431,Boracol Special 10/3Bd,5862
432,Care Plus Anti Insect DEET Spray 20%,5211
433,Insect Repellent Family Spray 20% DEET,5211
434,Ogräs stopp C,6015
435,OgräsNIX RE,6016
436,Quitmo Anti-Insect 20% DEET,5211
437,Sojet,5758
438,Architect,6018
439,Taegro,5935
440,Madex Top,5603
441,Axial One,5696
442,INPUT,5606
443,Primo Maxx II,5410
444,Sigmarine 530,4977
445,Wolsit KD-20 C,5702
446,Myr stop NG,5940
447,Myr stop NS,5958
448,"PYR 0,25 PBO 1,25 MG",5940
449,"PYR 0,5 CS",5958
450,Biltema Myrstopp,5997
451,BONUS MyraVäck pulver,5997
452,BONUS MyraVäck utvattning,5997
453,COM 116 03 I SG,5997
454,Compo Myrmedel,5997
455,Compo Myrmedel som du sprider och häller,5997
456,Demand Granules,5997
457,Granulert myrbete,5997
458,Insectex Myrmedel,5997
459,Insectex Myrmedel som du sprider och häller,5997
460,KILL-IT Myrmedel,5997
461,KILL-IT Myrpulver,5997
462,Myr stop LG,5997
463,Myr stop LP,5997
464,Pest Stop Myrpulver,5997
465,Pestis Protect Myrpulver,5997
466,QUIT-IT Myrpulver,5997
467,terrasan Home Myrmedel,5997
468,terrasan Home Myrmedel som du sprider och häller,5997
469,Trinol Granulert bete,5997
470,Bontoc,6012
471,Amistar Gold,5416
472,Anticimex Myrdosa,5343
473,BONUS MyraVäck myrdosa,5343
474,COMPO Mierenlokdoos,5343
475,Insectex Myragn,5343
476,Kill-IT Myrdosa,5343
477,Myragndosa,5343
478,Myr-agndosa,5343
479,Myrdosa,5343
480,Myrdosa RP,5343
481,Pest Stop Myrdosa,5343
482,Pestis Protect Myrdosa,5343
483,QUIT-IT Myrdosa,5343
484,Amistar,5465
485,Hard Racing Xtra,4596
486,Hempel's Antifouling Olympic 86951,4539
487,HEMPEL's BASIC,4183
488,Mille Light Copper,5039
489,Mille Xtra,4595
490,Ortiva Top,5423
491,Trimaxx,5496
492,ALAR 85 SG,5995
493,Cliophar 600 SL,5953
494,Creosote (Maderoil Grade B),5228-1
495,Creosote (Maderoil Grade C),5228-2
496,Creosote EN 13991 Grade B,5229-1
497,Creosote EN 13991 Grade C,5229-2
498,Creosote EN 13991 Grade C GX-plus,5229-3
499,EN 13991 Creosote Grade B,5230-1
500,EN 13991 Creosote Grade C,5230-2
501,Spinosad Myr Effekt,5524
502,Spinosad Myr Effekt Refill,5524
503,TN OIL,5227-2
504,WEI B,5227-1
505,WEI C,5227-2
506,Elanvy,6008
507,KRYPT 540,5551
508,Zorvec Enicade,5814
509,ACTICIDE MV,4599
510,Acticide Pt,4518
511,Medax Max,5317
512,Saltidin 20% Outdoor,6009-1-1
513,Benafar,6007
514,Secuvia,5556
515,Secuvia Secure,5556
516,Storm Ultra,5556
517,Storm Ultra Block Baits (BB),5556
518,Storm Ultra Secure,5556
519,Veor,5556
520,Veor Secure,5556
521,Halvetic,5897
522,Jablo,5966
523,Stopp NA,5108
524,Anti Myror Myrdosa,5523
525,Basic Myrdosa,5523
526,Cleave,5215
527,Endant,5523
528,Family Matters Myrdosa,5523
529,Formica Box (Myrdosa),5523
530,Glypper,5519
531,Myr Effekt Metalldosa,5523
532,Myrdosa,5523
533,NEU 1262 I,5523
534,Raid Optimal Myrdosa,5523
535,Roundup Dynamic,5964
536,Roundup Flex 450,5973
537,Roundup Gold ST,5965
538,Beloukha Garden RTU,6006
539,Gallup Hi-Aktiv,5517
540,Roundup PowerMax,5869
541,Glyphomax 480,5750
542,Stopp AE,5108
543,Tanalith E 9750,6005-2-1
544,Tanalith E 9800,6005-1-1
545,K-Othrine SC 25,5786-1-1
546,K-Othrine SC 26.25,5786-1-2
547,Gallup Biograde 360,5518
548,Avastel,5891
549,Revydas,5783
550,BIM CC 3250,5470
551,BIM MC 4946,5470
552,BIM MC 4950,5470
553,BIM MP 4850,5470
554,FennoCide GL50B,5470
555,FennoSan GL10B,5470
556,Myacide GA 50,5470
557,Protectol GA 50,5470
558,Protectol GA 50 OF,5470
559,Roundup Ultra XL,5974
560,TRICO,4568
561,TRICO Garden,4760
562,Stop It,PHT-0088-5698
563,Diflanil 500 SC,4989
564,Gallup 360-K,5550
565,Jura,5762
566,Jura Max,5959
567,Purelo,5763
568,Asperello,5913
569,Asperello Biocontrol,5913
570,Boom Efekt,5962
571,Credit Xtreme,5602
572,Attractis,EU-0027083-0001
573,BONUS FlugVäck spray,5108
574,Desintec Fly & Wasp Attractant,EU-0027083-0001
575,Fructolure,EU-0027083-0001
576,Fructose 51% w/w SL,EU-0027083-0001
577,Insect Attractant,EU-0027083-0001
578,MuscaDrink Forte,EU-0027083-0001
579,Muscattract,EU-0027083-0001
580,Nova Flugspray,5108
581,ProChok Flugspray,5108
582,STOP BG,EU-0027083-0001
583,STOP FT,EU-0027083-0001
584,Sure Cleaner Disinfectant Spray,EU-0032916-0000
585,VespaDrink Forte,EU-0027083-0001
586,Vesparex,EU-0027083-0001
587,Vespattract,EU-0027083-0001
588,Wasp Attract,EU-0027083-0001
589,Wespenfalle,EU-0027083-0001
590,SmartFresh ProTabs,5994
591,Loxiran Myr Effekt Pumpspray,4713
592,Spray mot myror,4713
593,Spray mot myror RTU,4713
594,Celest Extra Formula M,5027
595,Deserve,6003
596,Innox,5856
597,Soratel,5843
598,Autan Defense Ticks dry spray,5855
599,Autan Defense Tropical dry spray,5855
600,Autan Multi Insect Dry Spray,5855
601,Autan Protection Plus Dry Spray,5855
602,Autan Protection Plus Mygg- och Fästingspray,5855
603,Autan Sport Dry Spray,5855
604,Autan Tropical Dry Spray,5855
605,Autan Tropical Spray,5855
606,Bank,6002
607,Cedress,5888
608,Fox 480 SC,4850
609,NeemAzal-T/S,5387
610,Off! Multi Insect Dry Spray,5855
611,Off! Protection Plus Dry Spray,5855
612,Off! Sport Dry Spray,5855
613,Off! Tropical Dry Spray,5855
614,Sumi-alpha 5 FW,5273
615,Tern 750 EC,4371
616,Topas 100 EC,5367
617,Vibrance Gold,5808
618,Agil 100 EC,5232
619,Leopard,5624
620,Arbiter,5992
621,Instrata Elite,5466
622,Hurler,5555
623,Regalis Plus,5283
624,Stemper,5740
625,Geting skum,4825
626,Geting Spray,4717
627,Loxiran Myr Effekt Spray,4717
628,Loxiran Myrpulver,4730
629,Multi insekts spray,4717
630,Myr Pulver,4730
631,Permanent Geting Effekt Spray,4717
632,Permanent Getingskum,4825
633,Hingios,5916
634,Maganic,5899
635,Othello OD,5653
636,Sekator Plus OD,5564
637,Greteg,5991
638,Mospilan SG,5948
639,Spotlight Plus,5577
640,Kumulus DF,3022
641,Pomax,5640
642,Prepper,5553
643,pro-Opti,5768
644,Roxy 800 EC,5761
645,Tanalith E 9850,5996
646,BASF Cycocel Plus,5257
647,Conaxis,5703
648,Forapro,5903
649,Galera,5876
650,Maxforce Quantum,5979
651,K-Obiol EC 25,5801
652,K-Obiol ULV6,5800
653,Korasit KS2,5968
654,Korasit KSM,5968
655,5842 MULTIREPEL EVA MASTERBATCH,EU-0015409-0001
656,Diode,5937
657,Moddus Start,5194
658,Rasput,5963
659,Talius,5813
660,Difend Extra,5307
661,Apron XL,5635
662,BIM CC 3225,4400
663,DAZIDE ENHANCE,5033
664,Pastabete Dife,5484
665,Proman,5821
666,Protectol GA 24,4421
667,Ratimor Blockbete,5491
668,Ratimor Pastabete,5484
669,Vibrance Star,5809
670,Myrr Extra,5382
671,Myrr Myrdosa,5379
672,Myrr Myrsirap,5380
673,Skater Gold,5993
674,Agroxone,3236
675,Duplosan Max,3345
676,Foxtrot,4959
677,Fusilade Max,5684
678,Metaxon,5700
679,Stabilan 750 SL,5408
680,Conserve,4511
681,Devrinol,5249
682,Fennosan GL 10,3970
683,Fennosan GL 24,4259
684,Signature Xtra Stressgard,5989
685,AQUCAR GA 24 Water Treatment Microbiocide,5945
686,AQUCAR GA 50 Water Treatment Microbiocide,5946
687,Flurostar XL,5725
688,Moxa,5319
689,Overtake,5634
690,Revus Top,5110
691,Busan 1205,4399
692,Spectrum RX9724,4260
693,Warosit 247,4462
694,ABRAN 250,5827
695,ACTICIDE GDA 50,4706
696,BOLT 250,5825
697,CORRIB 250,5828
698,Nalco 73500,4257
699,Patton,5929
700,TEKO 250,5826
701,Harmony 50 SX,5428
702,Harmony Plus 50 SX,5431
703,Logo,4790
704,MaisTer,4906
705,Mycostop,4295
706,Rotstop S Gel,5479
707,Delan Pro,5520
708,Eradicoat Max,5536
709,Raptol Insekt Effekt Färdigblandad,5350
710,Raptol Insekt Effekt Spray,5500
711,Proplant,5985
712,Stabilan 750 SL,5408
713,Milbeknock,5819
714,Zorvec Enicade,5814
715,Tanalith MF,5851
716,Vacsol Aqua 6118,5851
717,Joust,5990
718,Mospilan SG,5948
719,Diabolo,4699
720,Mirador Forte,5384
721,Cymbal 45,5816
722,Natria mot Ogräs & Mossa,4890
723,Novagib,5679
724,Hinode,5866
725,Kalaguard E,5562
726,Kalaguard SB,5562
727,Kalaguard SB E,5562
728,Kalaguard SB Scopeblue,5562
729,Stroller-Plus Mossa,4181
730,TEPPEKI,5847
731,Euskatel,5765
732,Folicur Xpert,5413
733,Prosaro,5509
734,ConShape,5986
735,Bactoguard,EU-0018737-0002
736,Cif Disinfect & Shine Allesreiniger / Multi-usage / Multipurpose,EU-0018737-0002
737,Cif Disinfect & Shine Fresh,EU-0018737-0009
738,Cif Disinfect & Shine Hygiene,EU-0018737-0009
739,Cif Disinfect & Shine Multipurpose,EU-0018737-0017
740,Cif Disinfect & Shine Multipurpose Original,EU-0018737-0002
741,Cif Disinfect & Shine Multipurpose Spray Original,EU-0018737-0002
742,Cif Disinfect & Shine Multipurpose Spray Spring Flowers,EU-0018737-0017
743,Cif Disinfect & Shine Multipurpose Wipes,EU-0018737-0008
744,Cif Disinfect & Shine Multipurpose Wipes Ocean,EU-0018737-0009
745,Cif Disinfect & Shine Ocean,EU-0018737-0009
746,EcoSan Spray,EU-0018737-0002
747,Germshield,EU-0018737-0002
748,Glorix Disinfect & Shine Allesreiniger,EU-0018737-0017
749,Glorix Disinfect & Shine Allesreiniger Original,EU-0018737-0002
750,Glorix Disinfect & Shine Allesreiniger Wipes,EU-0018737-0008
751,Glorix Disinfect & Shine Fresh,EU-0018737-0009
752,Glorix Disinfect & Shine Hygiene,EU-0018737-0009
753,Glorix Disinfect & Shine Ocean,EU-0018737-0009
754,Hygienix Bathroom Cleaner Disinfectant,EU-0018737-0002
755,Hygienix Deodorizer Spray,EU-0018737-0002
756,Hygienix Disinfecting Spray,EU-0018737-0002
757,Hygienix Heavy Duty Cleaning and Disinfection Liquid,EU-0018737-0002
758,Hygienix Heavy Duty Cleaning and Disinfection Liquid HDL-L-0616022_03,EU-0018737-0017
759,Hygienix Heavy Duty Cleaning and DisinfectionLiquidHDL-L-0616022(liquid),EU-0018737-0002
760,Hygienix Kitchen Cleaner Disinfectant,EU-0018737-0002
761,Hygienix Light Duty Cleaning and Disinfection Liquid LDL-L-0616008_02,EU-0018737-0009
762,Hygienix Light Duty Cleaning and Disinfection Liquid LDL-L-0616008_02 (wipes),EU-0018737-0009
763,Hygienix Light Duty Cleaning and Disinfection Liquid LDL-L-0616008_03,EU-0018737-0008
764,Hygienix Light Duty Cleaning and Disinfection Liquid LDL-L-0616008_03 (wipes),EU-0018737-0008
765,Hygienix OdorShield,EU-0018737-0002
766,Hygienix PowerFoam,EU-0018737-0002
767,impralit-ACQ 1950,5987
768,impralit-ACQ 2100,5987
769,impralit-ACQ 2100 BPR,5987
770,impralit-ACQ 2100 X,5987
771,impralit-ACQ 2150,5987
772,impralit-ACQ 2250,5987
773,"impralit-ACQ
2100 PLUS",5987
774,impralit-KDS 20,5987
775,Maxentis,5883
776,Puraclean,EU-0018737-0002
777,PuraFoam Cleaner Disinfectant,EU-0018737-0002
778,Sanivet,EU-0018737-0002
779,Seventh Generation Disinfect & Clear Ocean,EU-0018737-0009
780,Seventh Generation Disinfect & Shine Fresh,EU-0018737-0009
781,Seventh Generation Disinfect & Shine Hygiene,EU-0018737-0009
782,Seventh Generation Disinfect & Shine Multipurpose,EU-0018737-0017
783,Seventh Generation Disinfect & Shine Multipurpose Original,EU-0018737-0002
784,Seventh Generation Disinfect & Shine Multipurpose Spray Spring Flowers,EU-0018737-0017
785,Seventh Generation Disinfect & Shine Multipurpose Wipes,EU-0018737-0008
786,Seventh Generation Disinfect & Shine Ocean,EU-0018737-0009
787,Seventh Generation Free & Clear Disinfectant Multipurpose Wipes,EU-0018737-0008
788,Seventh Generation Free & Clear Fresh,EU-0018737-0009
789,Seventh Generation Free & Clear Hygiene,EU-0018737-0009
790,Seventh Generation Free & Clear Multipurpose,EU-0018737-0017
791,Seventh Generation Free & Clear Multipurpose Disinfectant,EU-0018737-0002
792,Seventh Generation Free & Clear Multipurpose Spray Spring Flowers,EU-0018737-0017
793,Ultraclean,EU-0018737-0002
794,810 spray,5552
795,Bemodin insektsspray,5552
796,Betanal,5685
797,Biltema Myrstopp,5489
798,BONUS MyraVäck pulver,5489
799,BONUS MyraVäck pumpspray,5552
800,BONUS MyraVäck utvattning,5489
